"","site_code","year","block","plot","richness_vegan","shannon","inverse_simpson","evenness"
"2543","burren.ie",2015,1,1,27,2.66069124036805,10.7551867219917,0.80728851230847
"2544","burren.ie",2016,1,1,33,2.46877990433265,6.29761467889908,0.706070231776421
"2545","burren.ie",2017,1,1,32,2.60683429054417,7.23012552301255,0.752173380677475
"2546","burren.ie",2018,1,1,29,2.68837882934715,8.65648854961832,0.798379163899581
"2547","burren.ie",2015,1,2,22,2.61570768196349,10.4150464919696,0.846221856034881
"2548","burren.ie",2016,1,2,20,2.4907777220004,9.37938318546684,0.831442029712976
"2549","burren.ie",2017,1,2,17,1.776868023575,3.80029658922393,0.627156450220272
"2550","burren.ie",2018,1,2,16,1.68801474701613,3.22931639645663,0.608822626116902
"2551","burren.ie",2015,1,3,26,2.81490089530568,11.8360655737705,0.863970991177279
"2552","burren.ie",2016,1,3,26,2.51904589231787,7.73640167364017,0.77316490255
"2553","burren.ie",2017,1,3,23,2.57884319837449,10,0.822467853799022
"2554","burren.ie",2018,1,3,21,2.45468624412537,8.1706102117061,0.806263147779882
"2555","burren.ie",2015,1,4,30,2.89007393430022,13.1287001287001,0.849722497695164
"2556","burren.ie",2016,1,4,29,2.79436977760458,10.8763479511143,0.829855741429111
"2557","burren.ie",2017,1,4,21,1.63303278160507,2.32691525423729,0.536383887788387
"2558","burren.ie",2018,1,4,15,1.50252256486794,2.48818326808757,0.554835565550594
"2559","burren.ie",2015,1,5,23,2.18093986221032,5.18148554701793,0.695564945114731
"2560","burren.ie",2016,1,5,24,2.55846417686337,8.72007147111376,0.805041170930468
"2561","burren.ie",2017,1,5,22,1.97045578118668,3.54468085106383,0.637472894960031
"2562","burren.ie",2018,1,5,16,2.02373803626426,4.42431875429357,0.729909207244204
"2563","burren.ie",2015,1,6,20,2.44009081638075,8.59171597633136,0.814522324949268
"2564","burren.ie",2016,1,6,14,1.59276064612285,2.90160802419997,0.603533931699413
"2565","burren.ie",2017,1,6,9,0.823377744039698,1.59894498869631,0.374735360478222
"2566","burren.ie",2018,1,6,4,1.03097766042233,2.57481821660926,0.743693178979302
"2567","burren.ie",2015,1,7,24,2.38413773776416,6.14553638409602,0.750187965665495
"2568","burren.ie",2016,1,7,23,2.18361306320564,4.93730407523511,0.696417506405307
"2569","burren.ie",2017,1,7,22,2.00396555867226,4.10299426629858,0.64831382580819
"2570","burren.ie",2018,1,7,19,1.90429502474217,4.36307019020367,0.646742906956512
"2571","burren.ie",2015,1,8,26,2.65875744569894,9.72,0.816046244999696
"2572","burren.ie",2016,1,8,26,2.7205627604794,10.9801365611421,0.835016006656296
"2573","burren.ie",2017,1,8,26,2.57351665825828,8.21947508558387,0.78988348817346
"2574","burren.ie",2018,1,8,23,2.0912242331286,3.85896527285613,0.666952030242831
"2575","burren.ie",2015,1,9,28,2.78645966462674,12.3791102514507,0.836221083105201
"2576","burren.ie",2016,1,9,27,2.69261913512381,10.5812783090086,0.816975853051906
