"","year","year_trt","trt","site_name","site_code","block","plot","subplot","mass","category","live"
"56106",2015,0,"P","Slieve Carran","burren.ie",2,13,"B",77.75,"FORB","1"
"56107",2015,0,"P","Slieve Carran","burren.ie",2,13,"B",71,"GRAMINOID","1"
"56108",2015,0,"P","Slieve Carran","burren.ie",2,13,"B",9.45,"LEGUME","1"
"56109",2015,0,"P","Slieve Carran","burren.ie",2,13,"B",158.1,"LITTER","0"
"56110",2015,0,"NPK","Slieve Carran","burren.ie",2,14,"D",2.55,"BRYOPHYTE","1"
"56111",2015,0,"NPK","Slieve Carran","burren.ie",2,14,"D",65.35,"FORB","1"
"56112",2015,0,"NPK","Slieve Carran","burren.ie",2,14,"D",113.4,"GRAMINOID","1"
"56113",2015,0,"NPK","Slieve Carran","burren.ie",2,14,"D",9.4,"LEGUME","1"
"56114",2015,0,"NPK","Slieve Carran","burren.ie",2,14,"D",164,"LITTER","0"
"56115",2015,0,"N","Slieve Carran","burren.ie",2,15,"D",2.4,"BRYOPHYTE","1"
"56116",2015,0,"N","Slieve Carran","burren.ie",2,15,"D",42.4,"FORB","1"
"56117",2015,0,"N","Slieve Carran","burren.ie",2,15,"D",167.35,"GRAMINOID","1"
"56118",2015,0,"N","Slieve Carran","burren.ie",2,15,"D",4.4,"LEGUME","1"
"56119",2015,0,"N","Slieve Carran","burren.ie",2,15,"D",334,"LITTER","0"
"56120",2015,0,"N","Slieve Carran","burren.ie",2,15,"D",8.25,"WOODY","1"
"56121",2015,0,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",1.2,"BRYOPHYTE","1"
"56122",2015,0,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",104.05,"FORB","1"
"56123",2015,0,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",95.45,"GRAMINOID","1"
"56124",2015,0,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",17.2,"LEGUME","1"
"56125",2015,0,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",71.4,"LITTER","0"
"56126",2015,0,"Control","Slieve Carran","burren.ie",2,17,"B",2.7,"BRYOPHYTE","1"
"56127",2015,0,"Control","Slieve Carran","burren.ie",2,17,"B",97.9,"FORB","1"
"56128",2015,0,"Control","Slieve Carran","burren.ie",2,17,"B",87.8,"GRAMINOID","1"
"56129",2015,0,"Control","Slieve Carran","burren.ie",2,17,"B",13.6,"LEGUME","1"
